bs_id,latitude,longitude,total_duration(s),unique_users,lambda
BS_488,31.045313,121.844791,6409920,32,0.405404
BS_489,31.045319,121.846169,1062480,27,0.067198
BS_490,31.045516,121.216817,10432080,165,0.659791
BS_491,31.045834,121.408322,16358340,191,1.034605
BS_492,31.045842,121.756555,1592100,7,0.100694
BS_493,31.045964,121.420076,324180,3,0.020503
BS_494,31.046524,121.749155,4181040,92,0.264435
BS_495,31.046753,121.062205,225720,24,0.014276
BS_496,31.046945,121.764826,10224540,118,0.646664
BS_497,31.047441,121.470836,7389240,128,0.467342
BS_498,31.047975,121.785062,6697080,93,0.423566
BS_499,31.048220,121.231928,4919220,205,0.311122
BS_500,31.048468,121.242219,27600,2,0.001746
BS_501,31.048503,121.141872,5271660,115,0.333413
BS_502,31.048845,121.231719,8194740,224,0.518287
BS_503,31.049556,121.600672,6602640,93,0.417593
BS_504,31.050344,121.770082,3942060,104,0.249321
BS_505,31.050708,121.217094,5752440,63,0.363821
BS_506,31.051162,121.311884,8855400,273,0.560071
BS_507,31.051247,121.480621,5144100,156,0.325345
BS_508,31.051731,121.423756,5803560,177,0.367054
BS_509,31.051898,121.769904,62696520,602,3.965323
BS_510,31.052253,121.347624,1252740,72,0.079231
BS_511,31.052413,121.218957,225660,11,0.014272
BS_512,31.052639,121.761696,6928200,118,0.438183
BS_513,31.052986,121.506423,5346720,128,0.338160
BS_514,31.053198,120.907525,1540260,210,0.097416
BS_515,31.053362,121.431405,8177580,280,0.517202
BS_516,31.054051,121.741771,327480,16,0.020712
BS_517,31.054254,121.087156,709320,24,0.044862
BS_518,31.054324,121.793035,2697300,110,0.170594
BS_519,31.054506,121.460002,10277040,150,0.649985
BS_520,31.054594,121.339133,8004480,143,0.506254
BS_521,31.054777,121.166179,43860,2,0.002774
BS_522,31.054947,120.995325,4032660,21,0.255051
BS_523,31.055129,121.770244,8664840,158,0.548019
BS_524,31.056596,121.721736,1974480,152,0.124879
BS_525,31.056648,121.404326,13071300,69,0.826711
BS_526,31.057069,121.599172,6238680,110,0.394573
BS_527,31.057607,121.030715,2352060,8,0.148759
BS_528,31.057696,121.207516,11180760,160,0.707142
BS_529,31.057816,121.413943,5707980,188,0.361009
BS_530,31.057990,121.626154,6958500,109,0.440099
BS_531,31.058092,121.235964,3130380,183,0.197985
BS_532,31.058150,120.970188,6945900,11,0.439303
BS_533,31.058407,121.330724,9430800,285,0.596463
BS_534,31.058805,121.593285,2853120,117,0.180449
BS_535,31.058917,121.770251,164340,16,0.010394
BS_536,31.058968,121.787072,4869060,102,0.307950
BS_537,31.059304,121.535660,9624180,135,0.608694
BS_538,31.059755,121.389723,19267380,113,1.218591
BS_539,31.060038,121.195223,7182480,119,0.454265
BS_540,31.060535,121.274528,231300,1,0.014629
